STATION_CODE,STATION_NAME
AAL,Amlai
ABKP,AMBIKAPUR
ACAB,"A CABIN, VSPS"
ACBD,A Cabin/BMY
ACLA,AMLAI COLLIERY SIDING
AGB,AMBAGAON
AGN,Amgaon
AGZ,Amagura
AJU,Arjuni
AKT,Akaltara
AKTS,AMARKANTAK THERMAL PWR STN
ALM,Alamanda
AMB,Ambodala
AMDI,Amdi
AMPS,Sarguja Rail Corridor Pvt. Ltd
ANMD,Arang  Mahanadi
APR,Anuppur Jn.
APWP,AP STATE WAREHOUSING INVESTORS GODOWN
ARK,Araku
ARN,Arand
ARNG,ARUN NAGAR HALT
ATS,Attabira
AVP,Abhanpur Jn.
AWH,Alewahi
AWZ,Ahiwara
BAKL,Bakal
BAMR,Bamur
BATL,BAIHATOLA
BBSB,BIJURI BALLAST SIDING
BCCB,Bilaspur Chord Cabin
BCHL,Bacheli
BCPG,BALCO CAPTIVE POWER PLANT SIDING
BCRB,BIJURI COLLERY SIDING
BCSB,BURHAR COLLIERY
BDHG,Budhgahaon
BDHT,Bardi  P.H.
BDKD,Bhandarkund
BDVR,Boddavara
BDWA,Badhwabara
BDXX,Bade Arapur
BDYD,BHILAI DEPARTURE YARD
BEF,Bhupdeopur
BEMR,M/s. Bhatia Energy & Minerals Pvt. Ltd. /ROB
BEN,BENEPOLE
BFF,Barabhati
BGBR,Bagbahra
BGCK,BHATGOAN COLLIERY
BGHU,Borraguhalu
BGUA,Baiguda
BHJA,Bheja
BHNS,Bhansi
BHRH,Bhuyar P.H.
BHTK,Bhanwar Tonk
BHV,Bhoma
BHWY,"BLOCK HUT, WALTAIR MARSHALLING YARD"
BIA,Bhilai
BIEC,Baikunth East Cabin
BIG,Belgahna
BIV,Bamhani Banjar
BJRI,Bijuri
BKTH,BAIKUNTH P.H.
BKWC,Baikunth West Cabin
BLEY,BHILAI EXCHANGE YARD
BLGR,Balangir
BLMK,Bhalumaska
BLSN,Belsonda
BMC,Bhimalgondi
BMCK,Bissamcuttack
BMKJ,Bhimkhoj
BMP,Bramhapuri
BMW,Bamhani
BNPL,Bondapalli Halt
BNRD,BALANGIR ROAD
BNWD,BHANDEWADI HALT
BOCB,BELPAHAR OPEN CAST MINE III
BOCM,BELPAHAR OPEN CAST MAINES 1 AND 2
BOMB,BELPAHAR OPEN CAST MINES No.6 &7
BONA,Boinda
BOV,Bhatgaon
BOYA,BOTHIYA
BPH,Belpahar
BPHB,Bhilai Power House
BPRH,Balpur
BPSL,M/S BHUSHAN POWER AND STEEL LTD
BPVS,"Bharat Heavy Plants and Vessels Siding, VPT"
BQR,Bhilainagar
BRA,Birsola
BRD,Bhandara Road
BRGA,Bargarh Road
BRH,Baikunthpur Road
BRJN,Brajrajnagar
BRKH,Bisapur Kalan
BRND,Boridand
BRPL,Barpali
BRS,Birsinghpur
BSDR,Bansadhara PH
BSK,BALLAST SIDING
BSMA,ACB BLOCK  HUT
BSP,Bilaspur Jn.
BSPC,"M/s. Steel Authority of India Ltd. Bhilai Steel Plant, BIA"
BSPR,Bishrampur
BTC,Balaghat Jn.
BTL,Bortalao
BTVA,Batuva PH
BUA,Baradwar
BUDM,Badmal
BUH,Burhar
BUQ,Bargi
BWIP,bhawanipatna
BWV,Bhiwapur
BXA,Balod
BXQ,Brundamal
BYL,Belha
BYT,Bhatapara
CAF,Chanda Fort
CATD,Chataud
CCBG,CHICHOLE BUZURG
CCDB,C Cabin/BMY
CCIP,Cement Corporation of India Ltd.
CCJS,PFT of CONCOR
CCO,Chicholi
CCS,Private Siding to serve M/s.Century Cement.
CCSB,CHURCHA COLLIERY
CEBY,Coal Empty Yard Cabin
CFCV,CONTAINER FREIGHT STATION VSKP
CFDS,"THE ASSOCIATED CEMENT CO LTD, UNIT BARGARH CEMENT WORKS"
CFVS,Coromandel Fertilizer ltd  Siding VPT
CGLA,CHANGOTOLA
CHAR,Charmal
CHBT,Chakarbhata
CHCR,Chacher
CHD,Chandia Road.
CHDX,CHHADA
CHE,Srikakulam Road
CHRM,Chirimiri
CHUA,Chourari
CID,Chiraidongri
